               vars   n    mean    sd  min  max range   se
rateTrain         1 693   27.62 26.30    0  100   100 1.00
rateAirplane      2 693   81.13 20.96    0  100   100 0.80
Attractiveness    3 693   64.34 22.44    0  100   100 0.85
ManipDest         4 693    1.99  0.81    1    3     2 0.03
ManipInfo         5 693    1.50  0.50    1    2     1 0.02
ManipTax          6 693    2.01  0.82    1    3     2 0.03
PreferTrain       7 665   42.51 27.70    0  100   100 1.07
PreferAirplane    8 685   64.31 26.36    0  100   100 1.01
ImportPrice       9 693   67.08 22.45    0  100   100 0.85
ImportTime       10 692   62.47 20.45    0  100   100 0.78
ImportComfort    11 686   50.84 23.58    0  100   100 0.90
SchipholTrain    12 693    2.63  1.03    1    4     3 0.04
SchipholCar      13 693    2.81  1.15    1    5     4 0.04
CO2Comp          14 693    1.43  0.50    1    2     1 0.02
CO2Comp5E        15 693    1.27  0.44    1    2     1 0.02
CO2Comp7E        16 693    1.39  0.49    1    2     1 0.02
CO2CompMax*      17 693   18.77 79.26    0 1500  1500 3.01
Nep01            18 693    4.90  1.39    1    7     6 0.05
Nep02            19 692    3.54  1.74    1    7     6 0.07
Nep03            20 693    2.83  1.46    1    7     6 0.06
Nep04            21 693    4.31  1.57    1    7     6 0.06
Nep05            22 693    5.25  1.51    1    7     6 0.06
Bif01            23 693    1.69  0.46    1    2     1 0.02
Bif02            24 693    1.20  0.40    1    2     1 0.02
Bif03            25 693    1.65  0.48    1    2     1 0.02
Bif04            26 693    1.24  0.43    1    2     1 0.02
Bif05            27 693    1.50  0.50    1    2     1 0.02
Bif06            28 693    1.34  0.47    1    2     1 0.02
Bif07            29 693    1.49  0.50    1    2     1 0.02
Guilt01          30 693    1.74  0.97    1    5     4 0.04
Guilt02          31 693    2.47  1.14    1    5     4 0.04
Guilt03          32 693    3.61  1.17    1    5     4 0.04
Guilt04          33 693    3.31  1.22    1    5     4 0.05
Guilt05          34 693    3.85  1.24    1    5     4 0.05
Big01            35 693    3.17  1.11    1    5     4 0.04
Big02            36 692    4.12  0.92    1    5     4 0.03
Big03            37 692    2.81  1.18    1    5     4 0.05
Big04            38 692    3.54  1.13    1    5     4 0.04
Big05            39 692    2.98  1.25    1    5     4 0.05
Big06            40 693    3.97  0.94    1    5     4 0.04
Big07            41 693    2.59  0.95    1    5     4 0.04
Big08            42 692    3.86  0.85    1    5     4 0.03
Big09            43 693    2.88  1.14    1    5     4 0.04
Big10            44 693    3.85  0.97    1    5     4 0.04
dGender          45 693    1.41  0.49    1    2     1 0.02
YrBirth          46 693 1998.61  1.58 1991 2001    10 0.06
dIBA             47 693    1.10  0.30    1    2     1 0.01
SatFac           48 693   69.40 15.40    0  100   100 0.58
HrPWork          49 693   10.36  8.79    0   59    59 0.33
HrVWork          50 693    1.53  4.36    0   60    60 0.17
HrClass          51 693    9.13  5.55    0   60    60 0.21
HrStud           52 693   14.89 10.81    1   60    59 0.41
cLiving          53 693    2.38  0.99    1    5     4 0.04
cLocate          54 693    2.21  1.26    1    5     4 0.05
dPreMas          55 693    1.87  0.34    1    2     1 0.01
dSports          56 693    1.40  0.49    1    2     1 0.02
dFraternity      57 693    1.76  0.43    1    2     1 0.02
dAssoc           58 693    1.76  0.43    1    2     1 0.02
dAbroad          59 693    1.70  0.46    1    2     1 0.02
CheckDest        60 693    1.99  0.81    1    3     2 0.03
CheckInfo        61 693    1.44  0.50    1    2     1 0.02
CheckTax         62 693    1.90  0.81    1    3     2 0.03
